geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.477573908 37.7392301861),37.7392301861,-122.477573908,2010,"{""type"":""Point"",""coordinates"":[-122.477573908,37.7392301861]}",1,0,0,0,0,1,0,0,0,0,0,0,"['21ST AVE', 'VICENTE ST']",1,0,0,1,0,0
POINT(-122.477573908 37.7392301861),37.7392301861,-122.477573908,2018,"{""type"":""Point"",""coordinates"":[-122.477573908,37.7392301861]}",0,1,0,0,0,0,1,0,0,0,0,0,"['21ST AVE', 'VICENTE ST']",0,1,0,0,1,0
POINT(-122.477680213 37.7560605785),37.7560605785,-122.477680213,2011,"{""type"":""Point"",""coordinates"":[-122.477680213,37.7560605785]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'MORAGA ST']",0,1,0,0,0,1
POINT(-122.477703252 37.7410905621),37.7410905621,-122.477703252,2012,"{""type"":""Point"",""coordinates"":[-122.477703252,37.7410905621]}",1,0,0,0,0,1,0,0,0,0,0,0,"['21ST AVE', 'ULLOA ST']",1,0,0,1,0,0
POINT(-122.477766947 37.7728636557),37.7728636557,-122.477766947,2011,"{""type"":""Point"",""coordinates"":[-122.477766947,37.7728636557]}",0,1,0,0,0,0,1,0,0,0,0,0,"['19TH AVE', 'FULTON ST']",0,1,0,0,1,0
POINT(-122.477766947 37.7728636557),37.7728636557,-122.477766947,2015,"{""type"":""Point"",""coordinates"":[-122.477766947,37.7728636557]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'FULTON ST']",0,1,0,0,0,1
POINT(-122.477807116 37.7579195747),37.7579195747,-122.477807116,2016,"{""type"":""Point"",""coordinates"":[-122.477807116,37.7579195747]}",0,1,0,0,0,0,1,0,0,0,0,0,"['20TH AVE', 'LAWTON ST']",0,1,0,0,1,0
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2009,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",0,1,0,0,0,0,1,0,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",0,1,0,0,1,0
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2012,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",0,1,0,0,0,1
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2014,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",1,0,0,0,0,1,0,0,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",1,0,0,1,0,0
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2019,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",0,1,0,0,0,1
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2021,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",0,1,0,0,0,1
POINT(-122.477836243 37.7429555725),37.7429555725,-122.477836243,2022,"{""type"":""Point"",""coordinates"":[-122.477836243,37.7429555725]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'TARAVAL ST']",0,1,0,0,0,1
POINT(-122.477900148 37.7747299899),37.7747299899,-122.477900148,2013,"{""type"":""Point"",""coordinates"":[-122.477900148,37.7747299899]}",1,0,0,0,0,1,0,0,0,0,0,0,"['19TH AVE', 'CABRILLO ST']",1,0,0,1,0,0
POINT(-122.477900148 37.7747299899),37.7747299899,-122.477900148,2016,"{""type"":""Point"",""coordinates"":[-122.477900148,37.7747299899]}",1,0,0,0,0,1,0,0,0,0,0,0,"['19TH AVE', 'CABRILLO ST']",1,0,0,1,0,0
POINT(-122.47793668 37.7597844936),37.7597844936,-122.47793668,2007,"{""type"":""Point"",""coordinates"":[-122.47793668,37.7597844936]}",1,0,0,0,1,0,0,0,0,0,0,0,"['20TH AVE', 'KIRKHAM ST']",1,0,1,0,0,0
POINT(-122.47793668 37.7597844936),37.7597844936,-122.47793668,2012,"{""type"":""Point"",""coordinates"":[-122.47793668,37.7597844936]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'KIRKHAM ST']",1,0,0,1,0,0
POINT(-122.47793668 37.7597844936),37.7597844936,-122.47793668,2017,"{""type"":""Point"",""coordinates"":[-122.47793668,37.7597844936]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'KIRKHAM ST']",1,0,0,1,0,0
POINT(-122.478033278 37.776595244),37.776595244,-122.478033278,2012,"{""type"":""Point"",""coordinates"":[-122.478033278,37.776595244]}",1,0,0,0,1,0,0,0,0,0,0,0,"['19TH AVE', 'BALBOA ST']",1,0,1,0,0,0
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2011,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'JUDAH ST']",0,1,0,0,0,1
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2014,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",0,1,0,0,0,0,1,0,0,0,0,0,"['20TH AVE', 'JUDAH ST']",0,1,0,0,1,0
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2015,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",1,0,0,0,1,0,0,0,0,0,0,0,"['20TH AVE', 'JUDAH ST']",1,0,1,0,0,0
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2017,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'JUDAH ST']",0,1,0,0,0,1
